SN2004ey 0.015800 327.282542 0.444222
filter u
 295.53 16.534 0.009
 299.52 15.855 0.009
 300.55 15.792 0.011
 301.54 15.744 0.010
 302.55 15.718 0.010
 303.55 15.722 0.012
 304.57 15.744 0.011
 305.55 15.798 0.011
 307.58 15.966 0.011
 308.56 16.038 0.011
 309.55 16.114 0.011
 310.55 16.205 0.009
 311.56 16.296 0.009
 312.53 16.400 0.011
 314.57 16.620 0.009
 315.56 16.729 0.010
 320.54 17.409 0.012
 328.54 18.422 0.023
 330.58 18.637 0.039
 331.53 18.726 0.032
 337.53 19.157 0.032
 340.56 19.235 0.024
 344.54 19.426 0.031
 348.54 19.483 0.034
 352.55 19.509 0.055
filter g
 295.53 15.915 0.005
 298.68 15.466 0.007
 299.52 15.371 0.006
 300.55 15.300 0.007
 301.54 15.243 0.004
 302.55 15.199 0.005
 303.55 15.171 0.006
 304.57 15.170 0.005
 305.55 15.170 0.007
 307.58 15.224 0.005
 308.56 15.247 0.004
 309.55 15.275 0.007
 310.55 15.315 0.006
 311.56 15.363 0.005
 312.53 15.422 0.006
 314.57 15.539 0.005
 315.56 15.605 0.007
 320.54 16.032 0.004
 328.54 16.752 0.007
 330.58 16.959 0.009
 331.53 17.046 0.009
 337.53 17.494 0.015
 340.56 17.695 0.009
 344.54 17.829 0.013
 348.54 17.951 0.011
 352.55 18.054 0.012
filter r
 295.53 15.929 0.007
 298.68 15.493 0.005
 299.52 15.439 0.009
 300.55 15.360 0.009
 301.54 15.293 0.005
 302.55 15.251 0.005
 303.55 15.228 0.007
 304.57 15.194 0.008
 305.55 15.181 0.007
 307.58 15.195 0.004
 308.56 15.216 0.005
 309.55 15.227 0.008
 310.55 15.279 0.006
 311.56 15.330 0.006
 312.53 15.396 0.008
 314.57 15.532 0.004
 315.56 15.606 0.006
 320.54 15.895 0.005
 328.54 16.025 0.007
 330.58 16.084 0.007
 331.53 16.108 0.006
 335.54 16.256 0.007
 337.53 16.396 0.007
 338.55 16.453 0.008
 339.54 16.521 0.007
 340.56 16.589 0.008
 342.52 16.713 0.008
 344.54 16.820 0.009
 346.54 16.917 0.008
 348.54 16.991 0.009
 351.54 17.100 0.009
 352.55 17.141 0.009
filter i
 295.53 16.173 0.007
 298.68 15.776 0.006
 299.52 15.731 0.009
 300.55 15.697 0.009
 301.54 15.702 0.006
 302.55 15.717 0.006
 303.55 15.752 0.009
 304.57 15.769 0.012
 305.55 15.781 0.010
 307.58 15.867 0.006
 308.56 15.884 0.007
 309.55 15.921 0.008
 310.55 15.972 0.007
 311.56 16.034 0.007
 312.53 16.094 0.009
 314.57 16.294 0.007
 315.56 16.376 0.008
 320.54 16.570 0.007
 328.54 16.400 0.009
 330.58 16.357 0.007
 331.53 16.323 0.007
 335.54 16.342 0.007
 337.53 16.434 0.007
 338.55 16.471 0.009
 339.54 16.567 0.008
 340.56 16.649 0.009
 342.52 16.796 0.009
 344.54 16.901 0.010
 346.54 17.030 0.010
 348.54 17.136 0.010
 351.54 17.268 0.015
 352.55 17.307 0.014
filter B
 295.53 15.971 0.007
 298.68 15.532 0.006
 299.52 15.432 0.006
 300.55 15.365 0.005
 301.54 15.309 0.005
 302.55 15.267 0.005
 303.55 15.243 0.006
 304.57 15.246 0.006
 305.55 15.257 0.007
 307.58 15.325 0.006
 308.56 15.354 0.005
 309.55 15.410 0.008
 310.55 15.446 0.004
 311.56 15.509 0.006
 314.57 15.728 0.004
 315.56 15.815 0.007
 328.54 17.201 0.009
 330.58 17.418 0.013
 331.53 17.494 0.011
 335.54 17.789 0.010
 337.53 17.905 0.014
 338.55 17.992 0.011
 339.54 18.058 0.011
 340.56 18.088 0.012
 342.52 18.221 0.020
 344.54 18.259 0.012
 346.54 18.308 0.012
 348.54 18.372 0.014
 351.54 18.415 0.021
 352.55 18.456 0.022
filter V0
 295.53 15.987 0.006
 298.68 15.521 0.006
 299.52 15.444 0.007
 300.55 15.363 0.007
 301.54 15.303 0.006
 302.55 15.248 0.006
 303.55 15.222 0.007
 304.57 15.205 0.005
 305.55 15.199 0.007
 307.58 15.222 0.005
 308.56 15.240 0.006
 309.55 15.267 0.007
 310.55 15.291 0.005
 311.56 15.326 0.006
 314.57 15.476 0.005
 315.56 15.532 0.008
 328.54 16.262 0.008
 330.58 16.403 0.009
 331.53 16.464 0.009
 335.54 16.709 0.009
 337.53 16.803 0.009
 338.55 16.874 0.006
 339.54 16.945 0.008
 340.56 16.996 0.009
 342.52 17.080 0.026
 344.54 17.181 0.010
 346.54 17.269 0.010
 348.54 17.335 0.012
 351.54 17.422 0.012
 352.55 17.429 0.017
filter Ydw
 301.62 15.730 0.008
 301.63 15.712 0.008
 306.61 16.178 0.009
 306.61 16.164 0.009
 311.53 16.486 0.011
 311.53 16.511 0.011
 327.57 16.079 0.009
 327.58 16.077 0.008
 338.56 15.569 0.009
 338.56 15.572 0.009
filter J
 300.57 15.512 0.006
 300.58 15.582 0.009
 301.62 15.505 0.006
 301.63 15.518 0.006
 306.61 15.820 0.013
 306.61 15.826 0.013
 311.53 16.310 0.011
 311.53 16.279 0.010
 327.57 17.134 0.014
 327.58 17.076 0.013
 338.56 16.653 0.012
 338.56 16.649 0.013
 342.53 17.046 0.019
 342.54 16.938 0.018
filter H
 301.62 15.844 0.058
 301.63 15.788 0.054
 306.61 16.051 0.054
 306.61 16.128 0.059
 311.53 16.296 0.058
 311.53 16.274 0.058
 327.57 16.007 0.054
 327.58 15.989 0.054
 338.56 16.111 0.063
 338.56 16.086 0.058
 342.53 16.334 0.066
 342.54 16.298 0.067
 358.55 17.146 0.079
 358.55 17.124 0.075
