2006D 0.0085 193.14142 -9.77522
filter B
53751.84 14.763 0.009
53752.87 14.604 0.007
53754.76 14.425 0.009
53760.8 14.408 0.009
53761.8 14.476 0.006
53762.81 14.562 0.007
53763.8 14.652 0.008
53764.85 14.764 0.008
53765.83 14.865 0.008
53767.85 15.084 0.006
53772.82 15.732 0.006
53773.73 15.843 0.006
53774.83 15.984 0.007
53778.89 16.441 0.01
53785.84 16.972 0.01
53786.9 17.041 0.011
53788.89 17.145 0.007
53790.82 17.227 0.01
53795.85 17.435 0.011
53798.82 17.482 0.011
53799.82 17.492 0.01
53802.82 17.559 0.012
53804.86 17.624 0.012
53805.82 17.626 0.011
53809.76 17.686 0.022
53815.75 17.799 0.014
53818.82 17.857 0.014
53819.81 17.891 0.011
53824.78 17.966 0.009
53831.74 18.1 0.012
53835.76 18.17 0.013
53840.69 18.244 0.018
53845.69 18.285 0.013
53850.7 18.4 0.014
53858.64 18.532 0.016
53861.63 18.59 0.016
53862.7 18.604 0.016
53870.66 18.749 0.032
53891.61 19.082 0.025
filter H
53776.87 14.894 0.017
53776.87 14.921 0.021
53779.9 14.909 0.022
53789.85 15.528 0.038
53789.85 15.461 0.033
53796.86 15.927 0.021
53796.86 15.863 0.022
53800.87 16.083 0.03
53800.87 16.095 0.032
53803.89 16.32 0.062
53803.89 16.245 0.053
53807.79 16.477 0.048
53813.8 16.73 0.041
53813.81 16.697 0.046
53817.88 17.046 0.097
53773.86 14.981 0.022
53773.86 14.969 0.022
53786.88 15.275 0.023
53786.89 15.268 0.023
53835.78 17.855 0.046
53845.74 18.463 0.089
filter J
53776.87 16.03 0.02
53776.87 16.045 0.024
53779.9 15.892 0.032
53779.9 15.904 0.039
53782.86 15.846 0.022
53782.87 15.748 0.02
53789.85 16.308 0.028
53789.85 16.306 0.027
53796.86 16.942 0.034
53796.86 16.992 0.026
53803.89 17.47 0.078
53803.89 17.607 0.12
53807.79 17.832 0.063
53813.8 18.207 0.065
53813.81 18.147 0.061
53817.88 18.485 0.128
53817.87 18.54 0.154
53773.86 16.132 0.01
53773.86 16.144 0.01
53786.88 15.974 0.009
53786.89 15.982 0.009
53835.78 19.654 0.076
53845.74 19.842 0.124
filter V
53760.8 14.211 0.009
53761.8 14.235 0.006
53762.81 14.262 0.008
53763.8 14.315 0.007
53764.85 14.379 0.009
53765.83 14.43 0.007
53767.85 14.571 0.006
53772.82 14.951 0.006
53773.73 15.022 0.006
53774.83 15.106 0.007
53778.89 15.404 0.008
53781.74 15.598 0.017
53783.74 15.729 0.01
53785.84 15.893 0.008
53786.9 15.971 0.007
53788.89 16.125 0.009
53790.82 16.21 0.009
53795.85 16.435 0.008
53798.82 16.53 0.009
53799.82 16.565 0.008
53802.82 16.66 0.009
53804.86 16.712 0.008
53805.82 16.748 0.009
53809.76 16.855 0.014
53815.75 17.011 0.009
53818.82 17.109 0.009
53819.81 17.138 0.009
53824.78 17.281 0.007
53831.74 17.459 0.009
53835.76 17.567 0.009
53840.69 17.664 0.013
53845.69 17.803 0.009
53850.7 17.94 0.011
53858.64 18.143 0.014
53861.63 18.226 0.011
53862.7 18.241 0.012
53870.66 18.42 0.019
53891.61 18.85 0.02
filter Y
53776.87 15.021 0.013
53776.87 15.03 0.02
53779.9 14.87 0.016
53779.9 14.844 0.019
53782.86 14.713 0.016
53782.87 14.712 0.017
53789.85 15.019 0.014
53789.85 15.016 0.015
53796.86 15.476 0.018
53796.86 15.493 0.021
53800.87 15.707 0.015
53800.87 15.738 0.016
53803.89 15.925 0.035
53803.89 15.861 0.028
53807.79 16.138 0.023
53807.78 16.155 0.03
53813.8 16.455 0.028
53813.81 16.463 0.029
53817.88 16.679 0.024
53817.87 16.683 0.03
filter Ydw
53773.86 15.258 0.009
53773.86 15.246 0.009
53786.88 14.825 0.009
53786.89 14.833 0.009
53835.78 17.553 0.019
53835.77 17.549 0.021
53845.74 17.965 0.025
53845.73 17.976 0.027
filter g
53752.87 14.508 0.006
53754.76 14.316 0.007
53761.8 14.309 0.007
53763.8 14.438 0.008
53765.83 14.591 0.007
53767.85 14.759 0.006
53771.78 15.169 0.006
53772.82 15.283 0.006
53773.73 15.392 0.006
53774.83 15.52 0.006
53778.89 15.946 0.007
53781.74 16.214 0.009
53783.74 16.366 0.01
53785.84 16.525 0.008
53786.9 16.588 0.01
53788.89 16.704 0.008
53790.82 16.798 0.008
53795.85 16.964 0.006
53798.82 17.047 0.008
53799.82 17.082 0.007
53802.82 17.156 0.008
53804.86 17.19 0.007
53805.82 17.213 0.008
53809.76 17.279 0.014
53815.75 17.412 0.009
53818.82 17.46 0.009
53819.81 17.492 0.008
53824.78 17.589 0.007
53831.74 17.708 0.008
53835.76 17.774 0.009
53840.69 17.843 0.011
53845.69 17.941 0.009
53850.7 18.055 0.009
53858.64 18.203 0.011
53861.63 18.239 0.01
53862.7 18.275 0.01
53870.66 18.427 0.018
53891.61 18.766 0.014
filter i
53752.87 14.687 0.006
53754.76 14.575 0.006
53760.8 14.843 0.009
53761.8 14.893 0.007
53762.81 14.966 0.009
53763.8 15.058 0.009
53764.85 15.175 0.009
53765.83 15.29 0.01
53767.85 15.475 0.006
53771.78 15.532 0.006
53772.82 15.498 0.006
53773.73 15.469 0.006
53774.83 15.437 0.008
53778.89 15.377 0.008
53781.74 15.373 0.01
53783.74 15.443 0.01
53785.84 15.606 0.012
53786.9 15.696 0.011
53788.89 15.882 0.009
53790.82 16.001 0.008
53795.85 16.311 0.007
53798.82 16.442 0.009
53799.82 16.498 0.007
53802.82 16.635 0.011
53804.86 16.729 0.009
53805.82 16.782 0.008
53809.76 16.923 0.015
53815.75 17.191 0.011
53818.82 17.295 0.012
53819.81 17.355 0.01
53824.78 17.551 0.009
53831.74 17.783 0.013
53835.76 17.942 0.012
53840.69 18.083 0.019
53845.69 18.221 0.017
53850.7 18.418 0.015
53858.64 18.664 0.015
53861.63 18.725 0.019
53862.7 18.765 0.019
53870.66 18.982 0.029
53891.61 19.492 0.042
filter r
53752.87 14.483 0.006
53754.76 14.293 0.006
53761.8 14.228 0.006
53763.8 14.342 0.007
53765.83 14.512 0.007
53767.85 14.689 0.006
53771.78 14.907 0.005
53772.82 14.935 0.005
53773.73 14.964 0.006
53774.83 14.983 0.007
53778.89 15.116 0.008
53781.74 15.255 0.007
53783.74 15.396 0.009
53785.84 15.578 0.008
53786.9 15.675 0.007
53788.89 15.834 0.008
53790.82 15.948 0.007
53795.85 16.215 0.005
53798.82 16.341 0.009
53799.82 16.387 0.007
53802.82 16.499 0.008
53804.86 16.586 0.006
53805.82 16.608 0.007
53809.76 16.76 0.011
53815.75 16.982 0.009
53818.82 17.085 0.009
53819.81 17.116 0.009
53824.78 17.301 0.006
53831.74 17.557 0.011
53835.76 17.706 0.009
53840.69 17.873 0.013
53845.69 18.015 0.009
53850.7 18.216 0.011
53858.64 18.476 0.013
53861.63 18.541 0.012
53862.7 18.587 0.013
53870.66 18.846 0.02
53891.61 19.388 0.026
filter u
53751.84 15.251 0.021
53752.87 15.102 0.024
53754.76 14.993 0.018
53760.8 15.269 0.017
53761.8 15.389 0.015
53762.81 15.5 0.018
53763.8 15.611 0.018
53764.85 15.769 0.018
53765.83 15.883 0.018
53772.82 16.921 0.017
53773.73 17.049 0.016
53774.83 17.206 0.018
53778.89 17.649 0.022
53781.74 17.898 0.034
53783.74 18.002 0.04
53785.84 18.058 0.027
53786.9 18.13 0.038
53790.82 18.323 0.026
53795.85 18.52 0.03
53798.82 18.506 0.051
53799.82 18.609 0.03
53802.82 18.717 0.03
53804.86 18.68 0.035
53805.82 18.687 0.03
53809.76 18.679 0.058
53815.75 18.945 0.036
53818.82 19.045 0.029
53819.81 19.06 0.024
53824.78 19.183 0.029
53831.74 19.369 0.03
53835.76 19.528 0.049
53840.69 19.622 0.071
