2021zsz 0.035746 92.63880328 -14.53887968
filter g
58438.45525459992 22.54407771164509 0.9064086608456995
58443.32056709984 21.23685957211455 0.7405218794609818
58539.22795139998 21.93781590775326 0.9709515179832647
58561.19123840006 20.244037606957612 0.6748665983376149
58568.17528939992 21.813743064067086 0.9239656570543539
58751.47975690011 21.900786353771075 0.8675739706002349
58764.505995399784 22.277180920010895 0.7538832536587039
58802.5281134001 20.36011601948498 0.4811419713684691
58838.44048610004 20.098599352434185 0.8486659151718896
58864.1687384001 22.136477208627415 0.7220766062993926
59168.39385419991 22.272405236010275 0.7654130581452124
59196.35284719989 21.598919755094425 0.8075274307723108
59226.29490739992 21.961945629956443 0.7725955016370688
59229.29581019981 21.356125347041456 0.5684206516005679
59275.14829860022 21.315527196409125 0.5127133252044764
59479.481099499855 20.331506853316153 0.3800290775172194
59483.44414350018 19.854116071900542 0.3009494139670343
59497.49214120023 19.42109845423068 0.07950435720930678
59501.43854170013 20.19265107761446 0.11782075912811821
59517.43984950008 21.422362965337296 0.33861444666856894
59521.338379600085 21.952801336787356 0.5112905937753158
59523.3568171002 22.257649034929486 0.7285317523667548
59524.33936339989 21.33416063163183 0.26702026151192526
59526.36055559991 22.349914678893267 0.7261093883295383
59531.37532409979 21.360327447995836 0.34780701800836644
59853.49803239992 22.849437479645424 0.8325407351229226
59882.417708300054 21.220794219852046 0.6427569400364109
59893.41888889996 21.047709723653142 0.9240906783567049
60306.21027779998 20.54705696548265 0.5351391104318782
60327.25193289993 21.811816847003094 0.8209235660097536
60390.191423600074 20.881297425283094 0.9585644067395249
filter r
58373.48037040001 21.448294233117412 0.5716103031790831
58379.5234375 22.011023109318977 0.9478795191452045
58423.389953699894 22.079166210902955 0.9256122052402376
58429.398206000216 22.500513196338296 0.7768699989132929
58448.41814809991 20.845595264448935 0.53566062767045
58449.31589120021 21.307158448711 0.7020496634512579
58748.5 21.30916697993579 0.5597952999204082
58812.3119212999 21.51654389762595 0.49093319331169855
58885.16820599977 20.669706666741714 0.7652535919580474
58900.1782176001 21.94529357176866 0.8814459543910589
59118.504513899796 22.57689403325673 0.9294137039925956
59139.47134259995 21.419619875504633 0.4590890370285164
59145.39379630005 22.256624921059082 0.7458150436215073
59169.39814809989 21.22269361984038 0.36591034787510235
59180.39850689983 20.88609425441547 0.8732361318567144
59203.23461809987 21.37848030736525 0.5757530407709301
59210.3157060002 21.609536917783927 0.7417515919585257
59215.304236100055 20.604575580223603 0.8679980295128726
59217.32075229986 21.140707543142845 0.4830057651821353
59230.230474499986 21.952060069907482 0.6360139598530407
59232.29464119999 22.29129874732112 0.7431724278366107
59269.149536999874 21.1711278066827 0.44304544289471504
59477.485451399814 20.817876398324266 0.546422389239009
59483.481678199954 18.873410054330826 0.09378851769711417
59488.44244210003 18.425765206544426 0.030232405364508098
59497.47490740009 18.75583898407448 0.044660095710384366
59501.4996181 18.85822456821827 0.03773396979193932
59503.416631899774 19.12094726417343 0.08774433278567971
59509.44037039997 19.459011135361003 0.12343849346627626
59517.42420140002 20.114360968872518 0.1001605241355314
59521.44156249985 20.481084574189172 0.20116717015284538
59524.37381940009 20.554447401170115 0.14864990754329205
59526.48297449993 20.28252320347728 0.14154575397405658
59529.358854200225 20.72236156625737 0.24888931771303816
59538.310555600096 20.29286939890649 0.28664524892664506
59550.33880789997 21.745751590984003 0.399857645456337
59880.45898150001 21.875135723579668 0.6120207580586426
59882.46187500004 21.414021807344252 0.9215506000757436
59898.399791699834 22.255750502508448 0.9469129299361332
59909.3776273001 22.316951789550707 0.9573946686463742
59932.33656249987 21.568314711029515 0.5015986938931531
59953.288958299905 19.0553950362269 0.6567144011697711
59979.21039350005 20.694072000737968 0.5614193982391075
60209.49317129981 16.931258888624985 0.6492364542848916
60235.43934029993 22.102467311311866 0.6853097967324066
60290.396909699775 22.233626707128266 0.8073131643381217
60323.27243060013 21.59669838145847 0.7594257776106218
60392.15021990007 18.590187331873906 0.6325488675476866
