2022abom 0.036 55.288083 -2.848569
filter g
58342.440787000116 22.19416478748686 0.9962735041538977
58347.48541670013 22.928572313626944 0.9998094617172054
58351.46234950004 22.66054209395405 0.6589113183052854
58364.46214119997 21.810001473238394 0.7324582730005823
58385.47811339982 21.265770717505863 0.7464669378683073
58462.33787039993 21.20727160586436 0.6412377738317545
58471.10678240005 20.18918186708622 0.8354898093770078
58534.174942099955 20.617999731450052 0.7567530213215391
58730.4328935002 22.06752687138016 0.7318329263103726
58769.50042819977 20.743342313615525 0.7063379691462334
58885.12283559982 20.984675148646303 0.5877473384679481
59149.40020829998 21.720363950915917 0.7776119545633461
59151.32234949991 21.069928448204074 0.6443454360414168
59156.425497699995 21.00646323413324 0.733244158857044
59156.4259722 21.150330128169706 0.8036611522783798
59195.28276620014 20.621624769510575 0.7355874026294297
59272.15021990007 21.10557958435901 0.8760822737471144
59274.136458300054 21.277760552167095 0.8188279456133399
59280.169699099846 22.0015014789172 0.7495360346813934
59864.442314799875 21.128020733350475 0.8316491626606318
59869.3979282002 21.55803285898868 0.9714717158545155
59908.29271990014 21.740950936954285 0.5565628682295704
59910.33909719996 21.069149980846596 0.31071260913039317
59913.319571800064 19.627216057726585 0.07092267580419899
59932.25347220013 18.196471738293226 0.025224740982107273
59934.22858799994 18.316193787790567 0.021790251132409046
59936.27125000022 18.581186061690715 0.028141879136347185
59953.11486109998 19.63803485259623 0.08539168310832476
59957.127453700174 20.187360627236398 0.3291836364882745
59965.16228009993 19.956998405126466 0.12374204493420789
59967.17015049979 19.822258372873364 0.18389516183011423
59968.171701400075 19.97647273305478 0.12236068083207662
59970.266655100044 19.98993024205553 0.25515687484847904
59972.14560189983 20.22275013338796 0.19555979069144022
59978.14195600012 20.102449268907463 0.26480567890685164
59980.130636599846 19.788998978078325 0.15174439031463605
59982.10792820016 20.065530413665492 0.1786929264914111
59984.128344899975 20.27770231353126 0.1741062415833187
59991.19728010008 20.33489253885071 0.2668929121762145
60162.46902780002 21.797553543754923 0.8924389803006195
60334.22013889998 20.6058141321515 0.6039366026796946
filter r
58354.501377299894 22.698955211487203 0.889859263923929
58357.5003819 21.520510213252372 0.7657244693145856
58359.455590299796 21.637675179838553 0.7064544465723286
58367.49828700023 22.5868265652449 0.877984992886097
58368.442881899886 22.492915734699118 0.7680313411497011
58376.43745370023 22.582788680542336 0.8990216208904135
58378.43635419989 22.146027664025667 0.6816309300246475
58383.4165856 21.67153488701407 0.5407705537636832
58447.37903939979 21.21392540797303 0.881153069533862
58487.236597199924 22.286623664245983 0.8708578919700845
58493.106631900184 22.16264117357183 0.8725024486209295
58539.17237270018 21.286457431100246 0.6626468538240703
58725.49759260006 22.721021217018926 0.9578121102793592
58804.32763889991 21.114357384857012 0.8041918913311573
58873.15903940005 22.63468162824036 0.9950696017383648
58887.12792820018 22.037455099365026 0.9890870329968109
59124.353136599995 20.899624500261687 0.6821599057826294
59176.31939810002 22.06575348329791 0.6828558357993676
59204.284016199876 22.257938320233713 0.9527315331888323
59216.232580999844 21.58650869088548 0.6103789639747115
59222.22944439994 22.16237805318695 0.7323319505883649
59251.17143520014 21.932628813339893 0.7668321500711482
59270.13849540008 21.70970111085081 0.8407082154706622
59456.44439810002 20.525829551485266 0.47446551030111467
59498.373101899866 22.715858020628467 0.9702683336094449
59630.150381899904 21.62858641023668 0.9120688073766025
59876.38204859989 21.508754770437413 0.5854253663417319
59908.33418980008 21.01667556578468 0.360685565084673
59910.280844899826 20.408925716549373 0.1756020922019184
59922.275879600085 17.79537858700955 0.024338767018901315
59928.228715300094 17.838500910556032 0.022729210931669904
59932.2459028 17.81686612861771 0.017695042608697416
59934.275300899986 17.923732333651735 0.017934555629409557
59936.19265050022 17.94007195868248 0.026118032372786384
59940.24453700008 18.17043809198616 0.027570386974086418
59957.19296299992 18.844140828939395 0.05990168064217592
59967.16526619997 19.25331526234047 0.11792242616191492
59968.193993099965 19.293470060309154 0.07958932956355015
59970.19334489992 19.307022596161556 0.11938889669649015
59972.192835600115 19.292364293511564 0.08598194675452682
59978.17138889991 19.44286382159124 0.4754478784052302
59980.17306709988 19.349443807059757 0.08899471943714288
59982.131226900034 19.791778435593653 0.1469897233590388
59984.15192130022 19.694060005346586 0.11693480249142357
59991.149733799975 19.889879005260408 0.15855699627025627
59994.16472220002 20.047087956209715 0.17818889761731638
60013.139259300195 20.56746307608015 0.4127335570358478
60231.398958299775 22.024968752528864 0.7036558466957185
60249.40298609994 20.774251528263797 0.8057418263445595
60251.382118099835 22.066530580445438 0.9859613348064976
60339.2552546002 21.40266526960177 0.6718428044305699
