SN2006ef 0.017900 31.081292 -8.728389
filter u
 979.90 17.077 0.023
 981.81 17.446 0.021
 998.80 19.454 0.059
1001.84 19.670 0.035
1003.82 19.777 0.040
1014.71 19.977 0.111
filter g
 979.90 15.942 0.005
 981.81 16.159 0.009
 986.81 16.697 0.008
 998.80 17.924 0.008
1001.84 18.101 0.009
1003.82 18.185 0.009
1008.80 18.331 0.010
1014.71 18.457 0.021
1036.73 18.824 0.012
1040.71 18.846 0.014
filter r
 979.90 16.010 0.006
 981.81 16.135 0.007
 986.81 16.230 0.007
 998.80 16.875 0.006
1001.84 17.081 0.009
1003.82 17.190 0.009
1008.80 17.400 0.008
1014.71 17.639 0.020
1036.73 18.368 0.009
1040.71 18.473 0.014
filter i
 979.90 16.823 0.006
 981.81 16.887 0.009
 986.81 16.731 0.008
 998.80 16.968 0.008
1001.84 17.208 0.008
1003.82 17.335 0.011
1008.80 17.610 0.010
1014.71 17.867 0.016
1036.73 18.762 0.016
1040.71 18.912 0.021
filter B
 979.90 16.182 0.006
 981.81 16.440 0.007
 986.81 17.099 0.013
 998.80 18.324 0.015
1001.84 18.507 0.014
1003.82 18.587 0.014
1008.80 18.716 0.014
1014.71 18.802 0.036
1036.73 19.165 0.016
1040.71 19.233 0.025
filter V
 979.90 15.866 0.005
 981.81 15.993 0.008
 986.81 16.316 0.008
 998.80 17.278 0.008
1001.84 17.459 0.009
1003.82 17.553 0.010
1008.80 17.746 0.011
1014.71 17.899 0.017
1036.73 18.519 0.013
1040.71 18.601 0.016
