SN2006dd 0.005900 50.673417 -37.203611
filter u
1060.77 17.372 0.032
1065.76 17.445 0.028
1066.83 17.501 0.025
1068.76 17.510 0.028
1071.67 17.591 0.032
1073.73 17.615 0.027
1076.72 17.666 0.027
1080.77 17.696 0.032
1084.68 17.794 0.022
1087.63 17.837 0.031
1092.68 17.938 0.031
1096.66 17.982 0.029
1099.63 18.083 0.029
1100.66 18.074 0.029
1104.72 18.066 0.034
1106.65 18.136 0.033
1108.65 18.170 0.040
1110.61 18.132 0.045
1118.67 18.301 0.053
1123.63 18.471 0.051
1130.57 18.492 0.042
1133.60 18.499 0.040
1136.63 18.512 0.050
1143.56 18.663 0.050
1147.57 18.742 0.064
filter B
 981.84 15.698 0.009
 986.84 15.800 0.007
 994.85 15.897 0.006
 998.86 15.967 0.008
1001.90 16.026 0.008
1007.90 16.120 0.011
1014.82 16.212 0.008
1017.83 16.281 0.011
1046.68 16.743 0.009
1048.82 16.760 0.009
1049.78 16.779 0.014
1052.75 16.822 0.014
1056.74 16.907 0.011
1060.77 16.950 0.015
1065.76 17.033 0.015
1066.83 17.044 0.014
1068.76 17.076 0.015
1071.67 17.164 0.013
1073.73 17.172 0.012
1076.72 17.227 0.012
1080.77 17.288 0.011
1084.68 17.352 0.011
1087.63 17.402 0.012
1092.68 17.488 0.013
1096.66 17.536 0.011
1099.63 17.571 0.010
1100.66 17.613 0.011
1104.72 17.689 0.018
1106.65 17.710 0.012
1108.65 17.732 0.012
1110.61 17.779 0.018
1123.63 17.950 0.015
1127.69 17.999 0.015
1130.57 18.101 0.041
1133.60 18.122 0.017
1136.63 18.152 0.026
1143.56 18.260 0.018
1147.57 18.334 0.017
filter V
 906.94 14.287 0.006
 981.84 14.888 0.008
 986.84 15.035 0.006
 994.85 15.218 0.007
 998.86 15.313 0.008
1001.90 15.399 0.008
1007.90 15.540 0.007
1014.82 15.701 0.006
1017.83 15.775 0.012
1046.68 16.381 0.009
1048.82 16.422 0.009
1049.78 16.430 0.013
1052.75 16.501 0.015
1056.74 16.567 0.012
1060.77 16.669 0.018
1065.76 16.760 0.018
1066.83 16.759 0.013
1068.76 16.796 0.016
1071.67 16.881 0.014
1073.73 16.893 0.011
1076.72 16.954 0.012
1080.77 17.006 0.011
1084.68 17.089 0.012
1087.63 17.039 0.022
1092.68 17.158 0.020
1096.66 17.224 0.014
1099.63 17.343 0.012
1100.66 17.320 0.014
1104.72 17.398 0.016
1106.65 17.453 0.013
1108.65 17.419 0.020
1110.61 17.543 0.021
1123.63 17.743 0.016
1127.69 17.792 0.015
1130.57 17.834 0.016
1133.60 17.870 0.017
1136.63 17.933 0.018
1143.56 17.929 0.029
1147.57 18.100 0.020
filter Y
1045.86 14.744 0.180
