SN2005W 0.008900 27.690708 21.759833
filter u
 404.54 15.637 0.016
 406.54 15.314 0.015
 408.53 15.163 0.018
 409.53 15.108 0.021
 410.53 15.112 0.018
 411.53 15.116 0.021
 412.53 15.120 0.021
 413.53 15.184 0.048
 414.52 15.272 0.032
 415.52 15.343 0.042
 416.52 15.454 0.046
 417.52 15.516 0.033
 418.52 15.606 0.028
 419.52 15.753 0.048
 422.51 16.143 0.104
 425.51 16.656 0.151
filter g
 404.54 14.937 0.006
 408.53 14.454 0.009
 409.53 14.400 0.007
 410.53 14.318 0.012
 411.53 14.336 0.007
 412.53 14.356 0.007
 413.53 14.333 0.009
 414.52 14.338 0.007
 415.52 14.384 0.007
 416.52 14.428 0.009
 417.52 14.477 0.011
 418.52 14.468 0.010
 419.52 14.540 0.013
 420.51 14.584 0.025
 421.52 14.700 0.013
 422.51 14.827 0.033
 425.51 15.011 0.023
 426.50 15.127 0.031
 427.51 15.189 0.026
 429.51 15.378 0.015
filter r
 404.54 14.774 0.006
 406.54 14.508 0.006
 407.54 14.477 0.025
 408.53 14.341 0.007
 409.53 14.284 0.006
 410.53 14.231 0.012
 411.53 14.224 0.007
 412.53 14.195 0.006
 413.53 14.189 0.007
 414.52 14.167 0.006
 415.52 14.208 0.006
 416.52 14.211 0.008
 417.52 14.245 0.009
 419.52 14.333 0.008
 420.51 14.431 0.030
 421.52 14.442 0.038
 422.51 14.609 0.017
 425.51 14.758 0.013
 426.50 14.757 0.018
 427.51 14.855 0.013
 429.51 14.846 0.009
filter i
 404.54 14.999 0.006
 406.54 14.759 0.006
 408.53 14.645 0.007
 409.53 14.653 0.006
 410.53 14.643 0.008
 411.53 14.666 0.006
 412.53 14.735 0.007
 413.53 14.758 0.011
 414.52 14.783 0.011
 415.52 14.795 0.010
 416.52 14.838 0.011
 417.52 14.891 0.013
 419.52 14.975 0.011
 420.51 15.068 0.046
 422.51 15.177 0.040
 425.51 15.367 0.017
 426.50 15.380 0.030
 427.51 15.352 0.025
 429.51 15.285 0.013
filter B
 404.54 15.043 0.006
 406.54 14.757 0.006
 408.53 14.562 0.006
 409.53 14.502 0.006
 410.53 14.468 0.006
 411.53 14.442 0.006
 412.53 14.463 0.007
 413.53 14.469 0.017
 414.52 14.495 0.011
 415.52 14.525 0.012
 416.52 14.562 0.014
 417.52 14.666 0.014
 418.52 14.727 0.021
 419.52 14.814 0.030
 420.51 14.896 0.022
 421.52 14.989 0.020
 425.51 15.383 0.040
 426.50 15.525 0.034
 427.51 15.680 0.035
 429.51 15.866 0.035
filter V0
 404.54 14.910 0.006
 406.54 14.611 0.007
 408.53 14.417 0.006
 409.53 14.361 0.006
 410.53 14.313 0.007
 411.53 14.279 0.006
 412.53 14.278 0.006
 413.53 14.251 0.011
 414.52 14.299 0.011
 415.52 14.279 0.009
 416.52 14.281 0.010
 417.52 14.293 0.009
 418.52 14.339 0.009
 419.52 14.374 0.016
 420.51 14.378 0.013
 421.52 14.478 0.019
 422.51 14.531 0.025
 425.51 14.699 0.017
 426.50 14.777 0.017
 427.51 14.868 0.014
 429.51 14.957 0.013
