SN2007jg 0.037100 52.461750 0.056833
filter u
1363.82 18.689 0.027
1364.86 18.657 0.028
1365.88 18.644 0.026
1376.81 19.687 0.049
1378.87 19.790 0.085
1380.85 20.058 0.074
1383.78 20.610 0.133
filter g
1363.82 17.593 0.006
1364.86 17.536 0.006
1365.88 17.506 0.006
1368.84 17.544 0.011
1376.81 17.982 0.006
1378.87 18.178 0.009
1380.85 18.390 0.010
1383.78 18.687 0.011
1385.86 18.922 0.013
1392.84 19.537 0.019
1394.77 19.681 0.021
1395.82 19.723 0.054
1397.75 19.866 0.050
1403.84 20.137 0.060
1423.70 20.650 0.063
filter r
1363.82 17.613 0.014
1364.86 17.557 0.011
1365.88 17.494 0.011
1368.84 17.453 0.014
1376.81 17.806 0.009
1378.87 17.971 0.014
1380.85 18.083 0.016
1383.78 18.203 0.014
1392.84 18.360 0.017
1394.77 18.483 0.017
1395.82 18.542 0.032
1397.75 18.668 0.019
1403.84 19.099 0.025
filter i
1363.82 17.931 0.011
1364.86 17.926 0.011
1365.88 17.959 0.011
1368.84 18.004 0.017
1376.81 18.562 0.013
1378.87 18.681 0.017
1380.85 18.801 0.018
1383.78 18.763 0.019
1385.86 18.727 0.023
1392.84 18.573 0.018
1394.77 18.560 0.017
1397.75 18.684 0.020
1403.84 19.189 0.030
1411.75 19.610 0.030
1413.75 19.743 0.047
1417.74 19.788 0.037
1421.70 20.029 0.039
1423.70 20.042 0.054
1425.78 20.087 0.095
filter B
1363.82 17.704 0.009
1364.86 17.657 0.009
1365.88 17.631 0.009
1368.84 17.674 0.016
1376.81 18.246 0.010
1378.87 18.487 0.013
1380.85 18.766 0.018
1383.78 19.092 0.018
1385.86 19.346 0.022
1392.84 19.947 0.030
1394.77 20.074 0.037
1397.75 20.232 0.098
1403.84 20.503 0.107
1411.75 20.858 0.064
1413.75 20.884 0.075
1417.74 20.961 0.066
1421.70 21.029 0.067
filter V
1363.82 17.629 0.008
1364.86 17.581 0.007
1365.88 17.537 0.007
1368.84 17.500 0.014
1376.81 17.811 0.008
1378.87 17.958 0.010
1380.85 18.106 0.011
1383.78 18.307 0.012
1385.86 18.397 0.012
1392.84 18.837 0.017
1394.77 18.986 0.017
1395.82 19.074 0.089
1397.75 19.150 0.031
1403.84 19.550 0.044
1411.75 19.879 0.028
1413.75 19.903 0.037
1417.74 20.009 0.033
1421.70 20.200 0.036
filter Y
1377.80 18.516 0.052
1377.79 18.512 0.050
1386.83 18.204 0.066
1386.86 18.222 0.033
1396.73 17.810 0.022
1396.76 17.826 0.026
1399.78 17.936 0.028
1399.81 17.927 0.031
filter Ydw
1363.84 17.673 0.020
1363.84 17.699 0.029
1365.90 17.835 0.014
1422.80 19.129 0.038
1422.83 19.245 0.046
1425.71 19.410 0.040
1425.72 19.379 0.043
filter J
1377.80 19.056 0.180
1387.80 18.688 0.152
1363.84 17.605 0.021
1363.84 17.603 0.021
1365.90 17.797 0.018
1422.80 20.008 0.121
1425.71 20.347 0.190
1425.72 20.282 0.158
filter H
1363.84 17.609 0.036
