SN2008ff 0.019300 303.499833 -44.352167
filter u
1724.53 18.050 0.029
1725.54 18.170 0.029
1726.51 18.353 0.025
1728.51 18.495 0.028
1729.50 18.574 0.026
1732.62 18.847 0.022
1739.53 19.322 0.025
1740.53 19.354 0.028
1742.56 19.445 0.038
1744.53 19.508 0.027
1747.55 19.549 0.041
1749.53 19.585 0.052
1753.58 19.665 0.093
1756.56 19.742 0.034
1760.55 19.747 0.034
1765.57 19.861 0.037
1772.51 19.908 0.041
filter g
1724.53 16.545 0.008
1725.54 16.627 0.007
1726.51 16.701 0.005
1728.51 16.876 0.005
1729.50 16.952 0.006
1732.62 17.211 0.004
1739.53 17.712 0.005
1740.53 17.767 0.005
1742.56 17.864 0.012
1744.53 17.946 0.008
1747.55 18.038 0.009
1749.53 18.069 0.010
1753.58 18.119 0.013
1756.56 18.171 0.009
1759.54 18.219 0.007
1760.55 18.245 0.007
1765.57 18.316 0.007
1772.51 18.381 0.029
1777.52 18.462 0.012
1781.51 18.520 0.031
1785.52 18.579 0.048
1786.57 18.610 0.008
1790.57 18.672 0.010
filter r
1724.53 16.148 0.007
1725.54 16.144 0.009
1726.51 16.148 0.004
1728.51 16.151 0.004
1729.50 16.154 0.006
1732.62 16.208 0.005
1739.53 16.574 0.004
1740.53 16.642 0.004
1742.56 16.796 0.015
1744.53 16.884 0.005
1747.55 17.020 0.006
1749.53 17.093 0.007
1751.56 17.204 0.075
1753.58 17.248 0.007
1756.56 17.339 0.006
1759.54 17.433 0.006
1760.55 17.472 0.006
1765.57 17.631 0.007
1772.51 17.824 0.013
1777.52 17.980 0.009
1781.51 18.113 0.016
1785.52 18.268 0.026
1786.57 18.278 0.010
1790.57 18.413 0.012
filter i
1724.53 16.795 0.009
1725.54 16.764 0.009
1726.51 16.745 0.008
1728.51 16.686 0.008
1729.50 16.655 0.009
1732.62 16.577 0.005
1739.53 16.749 0.006
1740.53 16.812 0.006
1742.56 16.954 0.021
1744.53 17.115 0.008
1747.55 17.284 0.008
1749.53 17.361 0.008
1753.58 17.576 0.010
1756.56 17.670 0.009
1759.54 17.822 0.010
1760.55 17.841 0.008
1765.57 18.055 0.014
1772.51 18.312 0.019
1777.52 18.482 0.015
1781.51 18.568 0.027
1785.52 18.817 0.053
1786.57 18.793 0.024
1790.57 18.877 0.016
filter B
1724.53 16.913 0.009
1725.54 17.022 0.009
1726.51 17.132 0.009
1728.51 17.313 0.011
1729.50 17.392 0.010
1732.62 17.665 0.010
1739.53 18.129 0.009
1740.53 18.162 0.009
1742.56 18.263 0.016
1744.53 18.325 0.011
1747.55 18.407 0.014
1749.53 18.404 0.016
1753.58 18.465 0.023
1756.56 18.500 0.013
1759.54 18.558 0.014
1760.55 18.564 0.010
1765.57 18.612 0.014
1772.51 18.703 0.011
1777.52 18.733 0.019
1781.51 18.820 0.023
1785.52 18.892 0.019
1786.57 18.911 0.013
1790.57 18.989 0.019
filter V
1724.53 16.195 0.009
1725.54 16.229 0.007
1726.51 16.274 0.006
1728.51 16.361 0.007
1729.50 16.409 0.008
