2007ba 0.0385 229.177625 7.396611
filter B
54190.83	18.628	0.024
54194.84	17.965	0.017
54197.85	17.922	0.016
54200.85	18.1	0.016
54202.88	18.316	0.015
54203.85	18.468	0.014
54207.79	19.111	0.017
54211.81	19.712	0.047
54213.77	19.954	0.03
54218.85	20.322	0.061
54227.79	20.659	0.11
54229.79	20.739	0.106
54232.73	20.905	0.069
54235.71	20.956	0.055
54243.74	21.135	0.092
54246.7	21.066	0.151
filter H
54193.83	17.692	0.119
54193.84	17.648	0.128
54196.84	17.605	0.144
54196.85	17.426	0.114
54205.78	18.08	0.137
54208.83	17.997	0.17
filter J
54191.8	17.799	0.093
54191.81	17.864	0.102
54193.83	17.635	0.058
54193.84	17.577	0.053
54196.84	17.65	0.055
54196.85	17.557	0.054
54198.79	17.607	0.041
54198.81	17.639	0.054
54217.79	18.553	0.103
54217.8	18.547	0.117
54221.82	18.806	0.087
filter V
54190.83	18.415	0.018
54194.84	17.787	0.014
54197.85	17.623	0.011
54200.85	17.6	0.011
54202.88	17.685	0.009
54203.85	17.731	0.009
54207.79	18.137	0.01
54211.81	18.574	0.015
54213.77	18.76	0.013
54218.85	19.246	0.029
54224.74	19.524	0.083
54227.79	19.776	0.05
54229.79	19.781	0.045
54232.73	19.859	0.036
54243.74	20.234	0.047
54246.7	20.491	0.089
54255.61	20.541	0.13
filter Y
54191.8	18.008	0.057
54191.81	18.011	0.064
54193.83	17.734	0.039
54193.84	17.686	0.037
54196.84	17.545	0.026
54196.85	17.566	0.029
54198.79	17.593	0.031
54198.81	17.534	0.027
54205.78	17.833	0.033
54205.78	17.862	0.033
54208.83	17.849	0.033
54208.83	17.876	0.034
54217.79	17.706	0.036
54217.8	17.716	0.029
54228.78	18.432	0.066
54228.8	18.42	0.059
54234.73	18.771	0.107
54234.75	18.861	0.117
54238.73	19.021	0.115
54238.74	18.868	0.139
54247.72	19.237	0.152
filter Ydw
54221.82	17.866	0.03
54221.82	17.941	0.033
54245.77	19.246	0.055
54245.78	19.29	0.061
54254.75	19.555	0.129
filter g
54190.83	18.395	0.014
54194.84	17.771	0.013
54197.85	17.69	0.01
54202.88	17.958	0.009
54203.85	18.052	0.01
54207.79	18.624	0.011
54211.81	19.22	0.016
54213.77	19.44	0.017
54218.85	19.816	0.026
54224.74	20.19	0.079
54227.79	20.34	0.076
54229.79	20.278	0.057
54232.73	20.39	0.035
54235.71	20.612	0.031
54243.74	20.728	0.043
54246.7	20.804	0.086
54255.61	20.869	0.122
filter i
54190.83	18.255	0.038
54194.84	17.718	0.024
54197.85	17.676	0.024
54200.85	17.658	0.027
54202.88	17.757	0.031
54203.85	17.901	0.033
54207.79	18.015	0.038
54211.81	18.078	0.033
54213.77	18.064	0.038
54218.85	18.288	0.042
54224.74	18.778	0.046
54243.74	20.073	0.074
filter r
54190.83	18.248	0.026
54194.84	17.662	0.018
54197.85	17.484	0.014
54200.85	17.396	0.015
54202.88	17.451	0.019
54203.85	17.486	0.026
54207.79	17.717	0.028
54211.81	17.967	0.027
54213.77	18.066	0.032
54218.85	18.45	0.035
54224.74	18.982	0.047
54227.79	18.989	0.049
54229.79	19.075	0.053
filter u
54190.83	19.217	0.046
54194.84	18.77	0.065
54197.85	18.918	0.067
54202.88	19.832	0.07
54203.85	19.843	0.051
54207.79	20.513	0.099
