2006gt 0.0448 14.072083 -1.629444
filter B
54001.67	18.417	0.013
54003.69	18.379	0.013
54007.71	18.646	0.015
54008.68	18.759	0.017
54018.75	20.425	0.098
54028.69	21.049	0.042
54036.66	21.24	0.059
54039.64	21.607	0.158
54052.64	21.717	0.078
54056.65	21.642	0.092
54066.58	21.923	0.119
filter H
54002.68	18.245	0.19
54013.71	18.738	0.098
filter J
54002.68	18.089	0.102
54002.69	17.975	0.091
54006.69	18.284	0.115
54006.7	18.22	0.103
54011.74	18.794	0.149
54011.75	18.636	0.146
54013.71	19.102	0.05
54013.71	19.095	0.056
54017.76	19.298	0.126
54017.77	19.243	0.099
filter V
54001.67	18.226	0.012
54003.69	18.115	0.011
54007.71	18.149	0.012
54008.68	18.204	0.013
54018.75	19.176	0.028
54028.69	19.901	0.026
54036.66	20.339	0.04
54039.64	20.548	0.073
54046.62	20.551	0.122
54052.64	20.777	0.051
54066.58	21.068	0.078
54076.62	21.15	0.19
filter Y
54002.68	18.022	0.05
54006.69	18.243	0.083
54006.7	18.305	0.077
54010.74	18.332	0.062
54010.75	18.355	0.104
54011.74	18.396	0.072
54011.75	18.376	0.068
54027.66	18.432	0.086
54027.67	18.315	0.081
filter Ydw
54013.71	18.485	0.052
54013.71	18.534	0.053
54017.76	18.422	0.059
54017.77	18.516	0.047
54038.55	19.141	0.055
54038.56	19.076	0.042
54040.61	19.154	0.055
54048.62	19.716	0.097
filter g
54001.67	18.228	0.009
54003.69	18.162	0.01
54007.71	18.327	0.009
54008.68	18.421	0.011
54018.75	19.782	0.04
54028.69	20.577	0.031
54036.66	20.928	0.046
54039.64	20.998	0.076
54046.62	21.28	0.166
54052.64	21.38	0.052
54056.65	21.297	0.067
54066.58	21.75	0.094
filter i
54001.67	18.353	0.014
54003.69	18.342	0.015
54007.71	18.453	0.015
54008.68	18.506	0.015
54018.75	18.848	0.024
54028.69	19.364	0.026
54036.66	19.996	0.043
54039.64	20.015	0.043
54046.62	20.452	0.095
54052.64	20.664	0.058
54056.65	20.718	0.113
54066.58	21.264	0.1
filter r
54001.67	18.215	0.013
54003.69	18.112	0.012
54007.71	18.104	0.01
54008.68	18.12	0.009
54018.75	18.727	0.016
54028.69	19.445	0.02
54036.66	19.952	0.026
54039.64	20.105	0.035
54046.62	20.298	0.066
54052.64	20.553	0.041
54056.65	20.72	0.058
54066.58	21.06	0.076
54076.62	21.399	0.168
filter u
54001.67	19.032	0.062
54003.69	19.256	0.068
54007.71	19.832	0.079
54008.68	19.921	0.071
