SN2006mr 0.005900 50.679333 -37.208222
filter u
1052.75 14.547 0.016
1056.74 14.528 0.009
1060.78 14.830 0.016
1065.76 15.312 0.015
1066.83 15.434 0.010
1068.76 15.554 0.015
1071.67 15.825 0.019
1073.73 15.951 0.013
1076.72 16.145 0.015
1080.77 16.377 0.011
1084.68 16.572 0.013
1087.63 16.715 0.026
1092.68 16.947 0.028
1096.66 17.067 0.022
1099.63 17.177 0.019
1100.66 17.242 0.023
1104.72 17.352 0.023
1106.65 17.437 0.021
1108.65 17.497 0.035
1110.61 17.582 0.034
1118.68 17.725 0.037
1123.63 17.863 0.039
1130.56 18.107 0.040
1133.60 18.168 0.040
1136.62 18.268 0.044
1143.57 18.487 0.058
1147.57 18.635 0.055
filter B
1046.68 16.048 0.013
1048.82 15.578 0.007
1049.78 15.461 0.015
1052.75 15.508 0.016
1056.74 16.220 0.011
1060.78 16.829 0.028
1065.76 17.221 0.029
1066.83 17.250 0.032
1068.76 17.384 0.029
1071.67 17.521 0.025
1073.73 17.596 0.019
1076.72 17.693 0.022
1080.77 17.805 0.022
1084.68 18.006 0.043
1087.63 18.059 0.045
1092.68 18.199 0.061
1096.66 18.316 0.039
1099.63 18.403 0.024
1100.66 18.428 0.041
1104.72 18.486 0.034
1106.65 18.569 0.030
1108.65 18.636 0.065
1110.61 18.735 0.082
1118.68 18.752 0.038
1123.63 19.081 0.048
1127.69 19.178 0.044
1133.60 19.358 0.067
1143.57 19.686 0.103
1147.57 19.928 0.085
filter V
1046.68 15.565 0.011
1048.82 15.003 0.007
1049.78 14.849 0.018
1052.75 14.622 0.014
1056.74 14.934 0.006
1060.78 15.445 0.027
1065.76 15.927 0.023
1066.83 16.002 0.015
1068.76 16.116 0.022
1071.67 16.310 0.019
1073.73 16.434 0.014
1076.72 16.589 0.016
1080.77 16.797 0.015
1084.68 16.968 0.022
1087.63 17.069 0.045
1092.68 17.275 0.044
1096.66 17.479 0.030
1099.63 17.592 0.016
1100.66 17.572 0.033
1104.72 17.722 0.020
1106.65 17.807 0.022
1108.65 17.903 0.051
1118.68 18.327 0.034
1127.69 18.738 0.060
1133.60 18.917 0.068
1136.62 18.926 0.056
1143.57 19.191 0.129
1147.57 19.491 0.093
filter Y
1045.86 15.305 0.026
1047.69 14.748 0.015
1047.69 14.731 0.016
1053.80 14.040 0.017
1053.81 14.046 0.018
1057.65 14.024 0.012
1057.66 14.006 0.012
1063.78 14.324 0.022
1067.79 14.677 0.019
1070.78 14.986 0.015
1072.72 15.146 0.026
1077.75 15.571 0.019
1082.73 15.979 0.021
1086.71 16.172 0.022
1090.63 16.379 0.028
1093.69 16.525 0.022
1098.67 16.722 0.026
1103.70 16.885 0.031
1107.61 17.084 0.034
1109.65 17.070 0.036
1111.69 17.279 0.032
1114.65 17.258 0.058
1120.56 17.322 0.077
1124.58 17.494 0.064
filter Ydw
1073.75 15.313 0.031
1073.75 15.328 0.031
filter J
1047.69 14.662 0.013
1047.69 14.760 0.014
1053.80 13.971 0.015
1053.81 14.056 0.015
1057.65 14.134 0.012
1057.66 14.164 0.011
1063.78 14.809 0.018
1067.79 15.546 0.020
1070.78 15.992 0.023
1072.72 16.280 0.026
1077.75 16.961 0.051
1082.73 17.293 0.078
1086.71 17.711 0.096
1049.72 14.645 0.032
1049.73 14.591 0.032
1073.75 16.424 0.022
1073.75 16.448 0.023
filter H
1047.69 14.591 0.019
1053.80 13.948 0.015
1053.81 13.929 0.013
1057.65 13.944 0.014
1057.66 13.928 0.015
1063.78 14.434 0.017
1067.79 14.986 0.019
1070.78 15.447 0.032
1072.72 15.616 0.031
1090.63 16.901 0.056
1093.69 16.954 0.075
1103.70 17.425 0.116
1107.61 17.669 0.118
1049.72 14.425 0.130
1049.73 14.409 0.130
1073.75 15.712 0.061
1073.75 15.666 0.061
1137.63 18.989 0.156
